UnixTimestamp,Date,Time,SystemBattery,HCEP(TEMP),HCEP(COND),HCEP(PRES),HCEP(OXY),HCEP(PH),HCEP(FL),HCEP(TURB),HCEP(FSD),HCEP(TSD),HCEP(SAL),HCEP(SNDV),HCEP(SPC),HCEP(OSAT),HCEP(VOLT),HCEP(NUM),SUNA(M_Parameter1),SUNA(M_Parameter2),SUNA(M_Parameter3),SUNA(M_Parameter4),HCEP(ERR)
1681084800000,2023-04-10,00:00:00,13.87,9.6346,2.92463,3.097,9.834,8.23,2.589,1.246,0.66,0.11,26.3803,1478.063,4.22212,102.27,13.8,2414.0,2.66,0.0373,16812.0,909.0,0.0
1681085700000,2023-04-10,00:15:00,14.0,9.5079,2.91278,3.312,9.994,8.25,2.404,0.993,1.1,0.09,26.3552,1477.564,4.22045,103.68,13.8,2415.0,2.56,0.0359,16656.0,908.0,0.0
1681086600000,2023-04-10,00:30:00,13.65,9.3809,2.89483,3.525,10.143,8.27,3.395,0.581,0.6,0.1,26.2689,1476.988,4.20994,104.84,13.8,2416.0,1.21,0.0169,16685.0,908.0,0.0
1681087500000,2023-04-10,00:45:00,13.62,9.3784,2.88964,3.735,10.206,8.28,3.166,0.541,0.8,0.05,26.2188,1476.921,4.2027,105.44,13.8,2417.0,1.99,0.0278,16893.0,910.0,0.0
1681088400000,2023-04-10,01:00:00,13.64,9.465,2.89186,3.93,10.174,8.29,2.73,0.517,0.42,0.11,26.1776,1477.198,4.19535,105.28,13.8,2418.0,2.13,0.0298,16982.0,910.0,0.0
1681089300000,2023-04-10,01:15:00,13.5,9.498,2.89237,4.12,10.142,8.29,2.778,0.577,0.67,0.1,26.1586,1477.301,4.19209,105.01,13.8,2419.0,3.77,0.0528,12579.0,910.0,0.0
1681090200000,2023-04-10,01:30:00,13.42,9.4349,2.88626,4.31,10.138,8.29,3.298,0.506,0.82,0.12,26.1435,1477.05,4.19089,104.82,13.8,2420.0,2.43,0.034,12531.0,911.0,0.0
1681091100000,2023-04-10,01:45:00,13.45,9.3385,2.87747,4.481,10.146,8.29,2.891,0.523,0.69,0.1,26.1258,1476.671,4.18985,104.67,13.8,2421.0,2.4,0.0336,17107.0,911.0,0.0
1681092000000,2023-04-10,02:00:00,13.42,9.2848,2.86848,4.615,10.137,8.3,2.959,0.473,0.7,0.09,26.075,1476.41,4.18331,104.42,13.8,2422.0,1.67,0.0233,17113.0,911.0,0.0
1681092900000,2023-04-10,02:15:00,13.42,9.2897,2.86961,4.756,10.135,8.3,2.939,0.534,0.84,0.09,26.0827,1476.44,4.18436,104.41,13.8,2423.0,1.98,0.0278,17050.0,911.0,0.0
1681093800000,2023-04-10,02:30:00,13.31,9.2946,2.87103,4.856,10.077,8.29,2.922,0.548,0.71,0.1,26.0933,1476.473,4.18584,103.83,13.8,2424.0,3.72,0.0521,16052.0,910.0,0.0
1681094700000,2023-04-10,02:45:00,13.35,9.2864,2.86953,4.95,10.093,8.3,2.918,0.511,0.69,0.1,26.0842,1476.432,4.18465,103.97,13.8,2425.0,1.49,0.0209,17060.0,910.0,0.0
1681095600000,2023-04-10,03:00:00,13.32,9.3024,2.87279,5.013,10.015,8.29,3.097,0.473,0.61,0.05,26.1052,1476.519,4.18745,103.21,13.8,2426.0,1.34,0.0187,16787.0,911.0,0.0
