UnixTimestamp,Date,Time,SystemBattery,HCEP(TEMP),HCEP(COND),HCEP(PRES),HCEP(OXY),HCEP(PH),HCEP(FL),HCEP(TURB),HCEP(FSD),HCEP(TSD),HCEP(SAL),HCEP(SNDV),HCEP(SPC),HCEP(OSAT),HCEP(VOLT),HCEP(NUM),SUNA(M_Parameter1),SUNA(M_Parameter2),SUNA(M_Parameter3),SUNA(M_Parameter4),HCEP(ERR)
1676160000000,2023-02-12,00:00:00,14.17,7.5974,2.67314,2.555,10.915,7.95,2.616,0.78,0.3,0.05,25.3093,1468.963,4.10025,107.65,13.4,2410.0,15.6,0.218,16890.0,921.0,0.0
1676160900000,2023-02-12,00:15:00,14.1,7.5719,2.6715,2.632,10.757,7.95,5.192,1.052,2.69,0.6,25.3106,1468.866,4.10092,106.03,13.4,2411.0,16.2,0.227,16678.0,922.0,0.0
1676161800000,2023-02-12,00:30:00,14.07,7.5658,2.67139,2.704,10.81,7.95,2.707,0.666,0.34,0.05,25.3139,1468.847,4.10152,106.54,13.4,2412.0,15.4,0.215,16834.0,921.0,0.0
1676162700000,2023-02-12,00:45:00,13.85,7.542,2.65212,2.791,11.163,7.99,5.806,0.855,3.71,0.41,25.1303,1468.528,4.07491,109.81,13.4,2413.0,14.8,0.208,16847.0,922.0,0.0
1676163600000,2023-02-12,01:00:00,13.68,7.5663,2.66849,2.887,11.002,7.97,3.999,0.701,0.66,0.06,25.2832,1468.814,4.09701,108.42,13.4,2414.0,15.0,0.21,16891.0,919.0,0.0
1676164500000,2023-02-12,01:15:00,13.43,7.554,2.67173,2.978,10.918,7.96,4.271,0.686,0.52,0.06,25.326,1468.82,4.10354,107.58,13.4,2415.0,15.4,0.216,16811.0,921.0,0.0
1676165400000,2023-02-12,01:30:00,13.29,7.5377,2.67126,3.07,10.975,7.97,4.643,0.845,0.92,0.21,25.3329,1468.766,4.10488,108.11,13.4,2416.0,15.1,0.212,16833.0,921.0,0.0
1676166300000,2023-02-12,01:45:00,13.27,7.5403,2.67336,3.159,10.896,7.96,8.003,1.927,4.49,1.55,25.3528,1468.803,4.10776,107.35,13.4,2417.0,15.3,0.214,16858.0,921.0,0.0
1676167200000,2023-02-12,02:00:00,13.22,7.5461,2.67532,3.257,10.77,7.96,3.351,0.697,0.69,0.11,25.369,1468.847,4.11004,106.13,13.4,2418.0,15.5,0.217,16710.0,920.0,0.0
1676168100000,2023-02-12,02:15:00,13.2,7.5433,2.67682,3.364,10.96,7.97,8.353,3.313,4.95,2.58,25.3866,1468.86,4.1127,108.01,13.4,2419.0,15.4,0.216,16850.0,921.0,0.0
1676169000000,2023-02-12,02:30:00,13.18,7.5438,2.67896,3.472,10.988,7.97,4.769,1.046,0.74,0.51,25.4086,1468.891,4.11593,108.3,13.4,2420.0,15.9,0.223,16853.0,921.0,0.0
1676169900000,2023-02-12,02:45:00,13.17,7.5465,2.71415,3.58,10.04,7.89,10.387,2.057,7.71,1.67,25.7739,1469.356,4.16965,99.21,13.4,2421.0,15.1,0.212,16911.0,922.0,0.0
1676170800000,2023-02-12,03:00:00,13.16,7.5111,2.73227,3.681,9.958,7.86,6.622,1.72,0.88,0.71,25.9898,1469.486,4.20206,98.45,13.4,2422.0,19.4,0.272,16643.0,921.0,0.0
1676171700000,2023-02-12,03:15:00,13.16,7.5922,2.7525,3.782,8.968,7.79,3.247,1.193,0.81,0.07,26.1405,1469.992,4.22263,88.92,13.4,2423.0,19.4,0.272,16405.0,923.0,0.0
1676172600000,2023-02-12,03:30:00,13.15,7.5618,2.70787,3.874,10.063,7.88,4.075,1.057,0.48,0.14,25.6969,1469.325,4.15805,99.42,13.4,2424.0,16.9,0.237,16544.0,921.0,0.0
1676173500000,2023-02-12,03:45:00,13.15,7.5379,2.69754,3.961,10.572,7.92,5.099,0.932,0.74,0.07,25.6066,1469.121,4.14522,104.34,13.4,2425.0,15.9,0.222,16819.0,922.0,0.0
1676174400000,2023-02-12,04:00:00,13.14,7.5248,2.68435,4.043,10.813,7.95,5.389,0.83,0.83,0.14,25.4785,1468.912,4.12661,106.59,13.4,2426.0,15.0,0.21,16823.0,921.0,0.0
1676175300000,2023-02-12,04:15:00,13.17,7.5255,2.68136,4.099,10.705,7.95,4.956,1.642,0.72,1.7,25.4468,1468.876,4.12194,105.49,13.4,2427.0,10.9,0.153,15857.0,921.0,0.0
1676176200000,2023-02-12,04:30:00,13.15,7.5152,2.68561,4.128,10.951,7.96,6.07,0.753,0.78,0.1,25.4987,1468.901,4.12978,107.93,13.4,2428.0,15.0,0.21,16731.0,921.0,0.0
1676177100000,2023-02-12,04:45:00,13.12,7.5083,2.68874,4.127,10.795,7.95,5.729,1.168,0.74,0.66,25.5364,1468.92,4.13547,106.4,13.4,2429.0,15.1,0.212,16857.0,922.0,0.0
1676178000000,2023-02-12,05:00:00,13.15,7.504,2.68457,4.136,10.8,7.96,5.486,0.964,0.59,0.2,25.4961,1468.853,4.1296,106.41,13.4,2430.0,16.1,0.226,16737.0,921.0,0.0
1676178900000,2023-02-12,05:15:00,13.13,7.4566,2.67783,4.141,11.268,7.99,7.316,1.888,1.08,1.67,25.4604,1468.623,4.12525,110.88,13.4,2431.0,15.5,0.217,16650.0,922.0,0.0
1676179800000,2023-02-12,05:30:00,13.15,7.4491,2.67807,4.127,11.301,8.0,6.579,0.824,0.67,0.13,25.4683,1468.603,4.12657,111.19,13.4,2432.0,15.4,0.216,16756.0,922.0,0.0
1676180700000,2023-02-12,05:45:00,13.07,7.4662,2.67908,4.085,11.203,7.99,7.234,1.671,0.76,1.57,25.4663,1468.668,4.12595,110.26,13.4,2433.0,15.2,0.213,16767.0,922.0,0.0
1676181600000,2023-02-12,06:00:00,13.07,7.5142,2.70243,4.04,10.728,7.94,6.876,0.814,0.62,0.08,25.6752,1469.114,4.15577,105.85,13.4,2434.0,16.9,0.237,16687.0,921.0,0.0
1676182500000,2023-02-12,06:15:00,13.16,7.5085,2.69676,3.989,10.801,7.95,6.507,0.783,0.85,0.1,25.6201,1469.023,4.14778,106.52,13.4,2435.0,16.4,0.23,16814.0,921.0,0.0
1676183400000,2023-02-12,06:30:00,13.08,7.4957,2.69415,3.937,10.861,7.95,6.646,1.026,0.86,0.34,25.6022,1468.95,4.14539,107.07,13.4,2436.0,16.2,0.228,16915.0,920.0,0.0
1676184300000,2023-02-12,06:45:00,13.15,7.4852,2.69254,3.879,10.931,7.95,6.847,0.837,1.37,0.11,25.5932,1468.896,4.14425,107.72,13.4,2437.0,15.9,0.222,16937.0,921.0,0.0
1676185200000,2023-02-12,07:00:00,13.13,7.4883,2.69244,3.813,10.886,7.95,6.373,0.949,0.98,0.11,25.5899,1468.903,4.14371,107.28,13.4,2438.0,15.9,0.223,16796.0,921.0,0.0
1676186100000,2023-02-12,07:15:00,13.11,7.4546,2.6826,3.743,11.175,7.98,8.439,0.736,1.86,0.11,25.5118,1468.673,4.13285,109.99,13.4,2439.0,15.8,0.222,16801.0,922.0,0.0
1676187000000,2023-02-12,07:30:00,13.07,7.4781,2.68801,3.687,10.784,7.95,4.17,0.851,0.56,0.18,25.5512,1468.813,4.13819,106.22,13.4,2440.0,15.9,0.223,16898.0,922.0,0.0
1676187900000,2023-02-12,07:45:00,13.05,7.4816,2.69536,3.603,10.936,7.96,7.111,0.799,0.96,0.09,25.6255,1468.918,4.14906,107.79,13.4,2441.0,16.0,0.224,16902.0,922.0,0.0
